	o---x----	o---x----	ox--x--o-	o-x-x-o--	o--xxo---	o---x----	o--oxx---	o-o-x-x--	oo--x--x-	o---x-o-x
	ox--x--o-	ox--x--o-	ox--x--o-	oxx-x-oo-	ox-xxo-o-	ox--x--o-	ox-oxx-o-	oxo-x-xo-	ox--x--o-	oxo-x--ox
	o-x-x-o--	o-x-x-o--	oxx-x-oo-	o-x-x-o--	o-xxxoo--	o-x-x-o--	o-xoxxo--w	o-x-x-o--	oox-x-ox-	o-x-xoo-x
	o--xxo---	o--xxo---	ox-xxo-o-	o-xxxoo--	o--xxo---	o--xxo---	o--xxo---	o-oxxox--	oo-xxo-x-	o--xxoo-x
	o--oxx---	o--oxx---	ox-oxx-o-	o-xoxxo--w	o--oxx---	o--oxx---	o--oxx---	o-ooxxx--	oo-oxx-x-	o--oxxo-xw
	o-o-x-x--	o-o-x-x--	oxo-x-xo-	o-o-x-x--	oooxx-x--w	o-o-x-x--	ooo-xxx--w	o-o-x-x--	ooo-x-xx-w	ooo-x-x-xw
	oo--x--x-	oo--x--x-	oo--x--x-	oox-x-ox-	oooxx--x-w	oo--x--x-	ooo-xx-x-w	ooo-x-xx-w	oo--x--x-	ooo-x--xxw
	o---x-o-x	o---x-o-x	ox-ox-o-xw	o-xox-o-xw	o--xxoo-x	o---x-o-x	o--oxxo-xw	o---x-o-x	o--ox-oxxw	o---x-o-x
	oxx-x-oo-	oxx-x-oo-	oxx-x-oo-	oxx-x-oo-	oxxxx-ooow	oxx-x-oo-	oxx-xxooow	oxx-x-oo- 	oxx-x-oo-	oxxoo-ooxw
	ox-xxo-o-	ox-xxo-o-	ox-xxo-o-	oxxxxooo-	ox-xxo-o-	ox-xxo-o-	ox-xxo-o-	oxoxxoxo-	ox-xxo-o-	ox-xxooox
	ox-oxx-o-	ox-oxx-o-	ox-oxx-o-	oxxoxxoo-w	ox-oxx-o-	ox-oxx-o-	ox-oxx-o-	oxooxxxo-	ox-oxx-o-	ox-oxxooxw
	oxo-x-xo-	oxo-x-xo-	oxo-x-xo-	oxo-x-xo-	oxoxxoxo-	oxo-x-xo-	oxooxxxo-	oxo-x-xo-	oxo-x-xo-	oxoox-xox
